Country Name,Country Code,2017
Aruba,ABW,39454.62983
Afghanistan,AFG,1934.636754
Angola,AGO,6650.58494
Albania,ALB,12930.14003
Andorra,AND,
Arab World,ARB,17101.13083
United Arab Emirates,ARE,73137.87019
Argentina,ARG,20843.15508
Armenia,ARM,9620.818491
American Samoa,ASM,
Antigua and Barbuda,ATG,24644.55188
Australia,AUS,49628.81181
Austria,AUT,53937.06638
Azerbaijan,AZE,17525.27963
Burundi,BDI,737.9785829
Belgium,BEL,50220.86667
Benin,BEN,2276.59573
Burkina Faso,BFA,1866.514733
Bangladesh,BGD,3998.419424
Bulgaria,BGR,20948.19428
Bahrain,BHR,47660.71731
"Bahamas, The",BHS,31155.14475
Bosnia and Herzegovina,BIH,13735.0785
Belarus,BLR,18915.93989
Belize,BLZ,8352.944346
Bermuda,BMU,
Bolivia,BOL,7480.077141
Brazil,BRA,15662.24047
Barbados,BRB,18229.58768
Brunei Darussalam,BRN,79789.48786
Bhutan,BTN,10173.05107
Botswana,BWA,17784.84904
Central African Republic,CAF,821.2162029
Canada,CAN,46723.31776
Central Europe and the Baltics,CEB,29651.18951
Switzerland,CHE,66395.85634
Channel Islands,CHI,
Chile,CHL,24248.86076
China,CHN,16782.20776
Cote d'Ivoire,CIV,3921.713336
Cameroon,CMR,3644.801096
"Congo, Dem. Rep.",COD,888.67728
"Congo, Rep.",COG,5614.398974
Colombia,COL,14507.26125
Comoros,COM,2812.034747
Cabo Verde,CPV,7005.958684
Costa Rica,CRI,16976.18742
Caribbean small states,CSS,15701.59759
Cuba,CUB,
Curacao,CUW,27626.64095
Cayman Islands,CYM,72607.57077
Cyprus,CYP,36155.48075
Czech Republic,CZE,38019.58051
Germany,DEU,52055.30995
Djibouti,DJI,
Dominica,DMA,10649.41929
Denmark,DNK,54282.54774
Dominican Republic,DOM,16370.95618
Algeria,DZA,15207.17915
East Asia & Pacific (excluding high income),EAP,14901.09619
Early-demographic dividend,EAR,9832.88596
East Asia & Pacific,EAS,18108.20143
Europe & Central Asia (excluding high income),ECA,20906.36067
Europe & Central Asia,ECS,33620.43238
Ecuador,ECU,11501.01029
"Egypt, Arab Rep.",EGY,11742.05009
Euro area,EMU,45090.46101
Eritrea,ERI,
Spain,ESP,38888.73547
Estonia,EST,33675.45771
Ethiopia,ETH,1897.249077
European Union,EUU,42598.79902
Fragile and conflict affected situations,FCS,4561.926746
Finland,FIN,46735.41074
Fiji,FJI,10329.43879
France,FRA,44255.94164
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3497.917541
Gabon,GAB,17762.40864
United Kingdom,GBR,45378.99774
Georgia,GEO,11191.33618
Ghana,GHA,4457.355846
Gibraltar,GIB,
Guinea,GIN,2369.51917
"Gambia, The",GMB,2464.773716
Guinea-Bissau,GNB,1734.714909
Equatorial Guinea,GNQ,24532.952
Greece,GRC,28579.79453
Grenada,GRD,14654.86644
Greenland,GRL,
Guatemala,GTM,8166.857467
Guam,GUM,
Guyana,GUY,8142.576098
High income,HIC,48929.99014
"Hong Kong SAR, China",HKG,61713.41554
Honduras,HND,4916.723792
Heavily indebted poor countries (HIPC),HPC,2437.007118
Croatia,HRV,26351.90704
Haiti,HTI,1818.606695
Hungary,HUN,29159.12645
IBRD only,IBD,13860.35428
IDA & IBRD total,IBT,11320.0768
IDA total,IDA,3872.968976
IDA blend,IDB,5384.441433
Indonesia,IDN,12279.18328
IDA only,IDX,3084.090978
Isle of Man,IMN,
India,IND,7168.992484
Not classified,INX,
Ireland,IRL,77596.35505
"Iran, Islamic Rep.",IRN,21011.28831
Iraq,IRQ,17519.05422
Iceland,ISL,55322.09013
Israel,ISR,38866.1107
Italy,ITA,41200.02872
Jamaica,JAM,8974.33982
Jordan,JOR,9241.513754
Japan,JPN,41958.96216
Kazakhstan,KAZ,26490.84377
Kenya,KEN,3258.154499
Kyrgyz Republic,KGZ,3733.606138
Cambodia,KHM,4019.679985
Kiribati,KIR,2227.920995
St. Kitts and Nevis,KNA,28869.68919
"Korea, Rep.",KOR,38824.11539
Kuwait,KWT,71695.56421
Latin America & Caribbean (excluding high income),LAC,15604.96578
Lao PDR,LAO,6942.238417
Lebanon,LBN,12813.86955
Liberia,LBR,1293.415934
Libya,LBY,19056.8043
St. Lucia,LCA,13505.45477
Latin America & Caribbean,LCN,16156.20469
Least developed countries: UN classification,LDC,2859.096955
Low income,LIC,2184.874601
Liechtenstein,LIE,
Sri Lanka,LKA,12878.58867
Lower middle income,LMC,7166.781059
Low & middle income,LMY,11115.52773
Lesotho,LSO,3132.495534
Late-demographic dividend,LTE,17812.90106
Lithuania,LTU,33314.74037
Luxembourg,LUX,110589.1924
Latvia,LVA,28115.34769
"Macao SAR, China",MAC,116370.7403
St. Martin (French part),MAF,
Morocco,MAR,8261.060852
Monaco,MCO,
Moldova,MDA,6858.891958
Madagascar,MDG,1813.515493
Maldives,MDV,14523.99637
Middle East & North Africa,MEA,20097.87482
Mexico,MEX,19423.92769
Marshall Islands,MHL,3780.93897
Middle income,MIC,12216.38197
North Macedonia,MKD,15298.95193
Mali,MLI,2221.757886
Malta,MLT,41510.28901
Myanmar,MMR,6172.392649
Middle East & North Africa (excluding high income),MNA,13755.41407
Montenegro,MNE,19355.01984
Mongolia,MNG,12791.57934
Northern Mariana Islands,MNP,
Mozambique,MOZ,1418.485398
Mauritania,MRT,4023.499238
Mauritius,MUS,22355.19052
Malawi,MWI,1269.644595
Malaysia,MYS,30025.17655
North America,NAC,58594.47232
Namibia,NAM,11104.41938
New Caledonia,NCL,
Niger,NER,1012.859196
Nigeria,NGA,5887.573078
Nicaragua,NIC,5687.231512
Netherlands,NLD,54503.08193
Norway,NOR,62012.40776
Nepal,NPL,2874.983331
Nauru,NRU,15039.31757
New Zealand,NZL,40438.57095
OECD members,OED,44202.23048
Oman,OMN,41563.63827
Other small states,OSS,26474.94461
Pakistan,PAK,5241.938741
Panama,PAN,24472.00985
Peru,PER,13771.45995
Philippines,PHL,8340.331331
Palau,PLW,17865.79081
Papua New Guinea,PNG,4353.283357
Poland,POL,29922.20498
Pre-demographic dividend,PRE,3919.523693
Puerto Rico,PRI,39006.3906
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,32777.40197
Paraguay,PRY,12971.68385
West Bank and Gaza,PSE,5117.754563
Pacific island small states,PSS,6100.47862
Post-demographic dividend,PST,47055.58117
French Polynesia,PYF,
Qatar,QAT,124609.3041
Romania,ROU,26631.87948
Russian Federation,RUS,25766.92881
Rwanda,RWA,2078.052755
South Asia,SAS,6562.597003
Saudi Arabia,SAU,53693.3697
Sudan,SDN,4880.261517
Senegal,SEN,3556.137758
Singapore,SGP,96552.60261
Solomon Islands,SLB,2337.642672
Sierra Leone,SLE,1544.42929
El Salvador,SLV,7972.782895
San Marino,SMR,63037.12578
Somalia,SOM,
Serbia,SRB,16433.44975
Sub-Saharan Africa (excluding high income),SSA,3889.143027
South Sudan,SSD,
Sub-Saharan Africa,SSF,3891.441061
Small states,SST,23258.51226
Sao Tome and Principe,STP,3312.727969
Suriname,SUR,15002.41986
Slovak Republic,SVK,32243.84951
Slovenia,SVN,36142.79094
Sweden,SWE,51878.6944
Eswatini,SWZ,10249.51169
Sint Maarten (Dutch part),SXM,31776.40604
Seychelles,SYC,29062.26285
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,23873.42061
Chad,TCD,1929.472752
East Asia & Pacific (IDA & IBRD countries),TEA,15058.09493
Europe & Central Asia (IDA & IBRD countries),TEC,21703.27469
Togo,TGO,1691.534408
Thailand,THA,17917.20689
Tajikistan,TJK,3216.580702
Turkmenistan,TKM,18032.22196
Latin America & the Caribbean (IDA & IBRD countries),TLA,16072.41806
Timor-Leste,TLS,7416.223344
Middle East & North Africa (IDA & IBRD countries),TMN,13860.32073
Tonga,TON,6321.606933
South Asia (IDA & IBRD),TSA,6562.597003
Sub-Saharan Africa (IDA & IBRD countries),TSS,3891.441061
Trinidad and Tobago,TTO,31461.26406
Tunisia,TUN,12047.05114
Turkey,TUR,27915.52365
Tuvalu,TUV,3903.655005
Tanzania,TZA,3090.494371
Uganda,UGA,1945.358604
Ukraine,UKR,8693.693649
Upper middle income,UMC,17910.42392
Uruguay,URY,22728.13475
United States,USA,59927.92983
Uzbekistan,UZB,8084.651372
St. Vincent and the Grenadines,VCT,11782.722
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6857.984044
Vanuatu,VUT,3123.565004
World,WLD,17151.48895
Samoa,WSM,6495.387727
Kosovo,XKX,10756.66346
"Yemen, Rep.",YEM,2645.308383
South Africa,ZAF,13438.28289
Zambia,ZMB,4090.12004
Zimbabwe,ZWE,2825.725122
